Date,Year,Month,Week,District,Grade,Highest_Price,Average_Price,Source_URL
2016-01-26,2016,1,4,Gampaha,Alba,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Gampaha,C-4,1250.0,1112.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Gampaha,C-5,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Gampaha,H-2,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Hambantota,Alba,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Hambantota,C-4,1560.0,1555.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Hambantota,C-5,1600.0,1580.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Hambantota,H-2,1450.0,1425.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Kalutara,Alba,2000.0,2000.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Kalutara,C-4,1320.0,1310.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Kalutara,C-5,1400.0,1380.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Kalutara,H-2,950.0,920.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Kurunegala,Alba,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Kurunegala,C-4,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Kurunegala,C-5,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Kurunegala,H-2,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Matara,Alba,2100.0,2100.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Matara,C-4,1550.0,1550.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Matara,C-5,1650.0,1600.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Matara,H-2,1450.0,1440.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Monaragala,Alba,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Monaragala,C-4,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Monaragala,C-5,,,https://exagri.info/mkt/2016/1.26.january-2016.html
